time, humidity, ambient_temp, m8_temp, m5_temp
2022-04-14_13-55-34, 50.400000, 24.300000, 24.370000, 24.190000
2022-04-14_13-55-38, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-55-42, 50.200000, 24.300000, 24.370000, 24.190000
2022-04-14_13-55-46, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-55-50, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-55-54, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-55-58, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-02, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-06, 50.200000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-11, 50.000000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-15, 50.200000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-19, 50.300000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-23, 50.200000, 24.300000, 24.370000, 24.190000
2022-04-14_13-56-27, 50.300000, 24.300000, 24.500000, 24.250000
2022-04-14_13-56-31, 50.500000, 24.300000, 24.690000, 24.310000
2022-04-14_13-56-35, 50.300000, 24.300000, 24.810000, 24.370000
2022-04-14_13-56-39, 50.300000, 24.300000, 24.940000, 24.500000
2022-04-14_13-56-43, 50.400000, 24.300000, 25.000000, 24.500000
2022-04-14_13-56-47, 50.400000, 24.300000, 25.060000, 24.620000
2022-04-14_13-56-52, 50.300000, 24.300000, 25.120000, 24.750000
2022-04-14_13-56-56, 50.200000, 24.300000, 25.120000, 24.750000
2022-04-14_13-57-00, 50.300000, 24.300000, 25.190000, 24.870000
2022-04-14_13-57-04, 50.300000, 24.300000, 25.190000, 24.870000
2022-04-14_13-57-08, 50.500000, 24.400000, 25.190000, 24.940000
2022-04-14_13-57-12, 50.400000, 24.300000, 25.190000, 24.940000
2022-04-14_13-57-16, 50.400000, 24.400000, 25.250000, 25.000000
2022-04-14_13-57-20, 50.400000, 24.400000, 25.250000, 25.000000
2022-04-14_13-57-24, 50.300000, 24.300000, 25.250000, 25.000000
2022-04-14_13-57-29, 50.300000, 24.400000, 25.310000, 25.060000
