time, humidity, ambient_temp, m8_temp, m5_temp, dew point
2022-05-01_12-26-54, 45.400000, 25.000000, 25.120000, 25.000000, 12.379242
2022-05-01_12-26-58, 45.500000, 25.000000, 25.120000, 25.000000, 12.412756
2022-05-01_12-27-03, 45.500000, 25.000000, 25.120000, 25.000000, 12.412756
2022-05-01_12-27-07, 45.500000, 25.000000, 25.120000, 25.000000, 12.412756
2022-05-01_12-27-11, 45.400000, 24.900000, 25.120000, 25.000000, 12.288436
2022-05-01_12-27-15, 45.500000, 24.900000, 25.120000, 25.000000, 12.321926
2022-05-01_12-27-19, 45.500000, 24.900000, 25.120000, 25.000000, 12.321926
2022-05-01_12-27-23, 45.600000, 24.900000, 25.120000, 25.060000, 12.355351
2022-05-01_12-27-27, 45.600000, 24.900000, 25.190000, 25.060000, 12.355351
2022-05-01_12-27-31, 45.600000, 24.900000, 25.250000, 25.120000, 12.355351
2022-05-01_12-27-35, 45.600000, 24.900000, 25.250000, 25.190000, 12.355351
2022-05-01_12-27-40, 45.600000, 25.000000, 25.310000, 25.190000, 12.446205
2022-05-01_12-27-44, 45.600000, 25.000000, 25.310000, 25.250000, 12.446205
2022-05-01_12-27-48, 45.600000, 24.900000, 25.310000, 25.250000, 12.355351
2022-05-01_12-27-52, 45.600000, 24.900000, 25.370000, 25.250000, 12.355351
2022-05-01_12-27-56, 45.600000, 25.000000, 25.370000, 25.250000, 12.446205
2022-05-01_12-28-00, 45.700000, 25.000000, 25.370000, 25.250000, 12.479590
2022-05-01_12-28-04, 46.000000, 25.000000, 25.370000, 25.250000, 12.579358
2022-05-01_12-28-08, 46.100000, 24.900000, 25.370000, 25.250000, 12.521515
2022-05-01_12-28-12, 46.300000, 25.000000, 25.370000, 25.310000, 12.678556
2022-05-01_12-28-16, 46.100000, 25.000000, 25.440000, 25.310000, 12.612487
2022-05-01_12-28-21, 45.900000, 25.000000, 25.440000, 25.310000, 12.546166
2022-05-01_12-28-25, 45.700000, 25.000000, 25.440000, 25.310000, 12.479590
2022-05-01_12-28-29, 45.600000, 25.000000, 25.440000, 25.310000, 12.446205
